X,Y,OBJECTID,FEATURE_ID,NAME,ADDRESS,ZIP,INVENTORY_ID,DISTRICT,OWNERSHIP_TYPE,OWNER,REG_SPACES,ACCESSIBLE,XCOORD,YCOORD,LONGITUDE,LATITUDE,ADDRESS_NUM,ON_PREFIX,ON_STNAME,ON_STYPE,ON_SUFFIX,CROSS_PREFIX,CROSS_STNAME,CROSS_STYPE,CROSS_SUFFIX
-122.179586343384,47.3871952666456,100,570010,Kent Covenant Church P&R,12010 SE 240th St,98031,521,S,L, ,20,0,1306934,144155,-122.17958918,47.38719316,12010,SE,240th,St, , , , , 
-122.057840858191,47.5395511786725,101,570012,Tibbetts Valley Park P&R,965 12th Ave NW,98027,540,E,L, ,27,0,1337973.35286,199218.39923,-122.05784281,47.53954879,965, ,12th,St,NW, ,Newport,Way, 
-122.332669393334,47.2829100106986,102,570015,Sunrise United Methodist Church P&R,150 S 356th St,98003,541,S,L, ,25,0,1268277.00708,106823.45818,-122.33267282,47.28290824,150,S,356th,St, , , , , 
-122.293535928163,47.3568493489261,103,570016,All Saints Lutheran Church P&R,27225 Military Rd S,98001,542,S,L, ,75,0,1278500.58833,133602.503694,-122.29353895,47.35684748,27225, ,Military,Rd,S, , , , 
-122.292145608708,47.3617825160571,104,570017,St Columba Episcopal Church P&R,26715 Military Rd S,98032,543,S,L, ,15,0,1278879.2512,135395.099823,-122.2921486,47.36178065,26715, ,Military,Rd,S, , , , 
-122.250772456462,47.5025091069844,105,570021,Community Bible Fellowship P&R,11227 Renton Ave S,98178,591,S,L, ,29,0,1290077,186527,-122.25077467,47.50250716,11227, ,Renton,Ave,S,S,112th,Pl, 
-122.208608775008,47.4811234417386,106,570023,Renton City Municipal Garage P&R,655 S 2nd St,98055,569,S,L, ,150,0,1300357.81224,178538.410577,-122.20861109,47.4811214,655,S,2nd,St, , ,Logan,Ave,S
-122.343638606961,47.5176408202337,107,570026,Sonrise Evangelical Free Church P&R,610 SW Roxbury,98108,553,N,L, ,10,0,1267235.02,192482.07,-122.34364075,47.51763899,610,SW,Roxbury, , , ,6th,Ave,SW
-122.019191382143,47.545050940099,108,570030,Issaquah Highlands P&R,1755 Highlands Dr,98027,759,E,P,KC,1010,0,1347549.60038,201074.783639,-122.01919329,47.54504847,1755, ,Highllands,Dr, , , , , 
-122.210702152596,47.6172639338642,109,570034,Grace Lutheran Church P&R,9625 NE 8th St,98009,508,E,L, ,50,0,1300729,228199,-122.21070383,47.61726191,9625,NE,8th,St, , ,96th,Ave,NE
-122.003919777837,47.3096163076083,110,570035,Black Diamond Masonic Temple P&R,32523 3rd Ave,98010,590,S,L, ,30,0,1350014.63398,115148.467555,-122.00392303,47.3096138,32523, ,3rd,Ave, , , , , 
-122.207669795456,47.4805841191859,111,570037,Renton P&R (Metropolitan Place),232 Burnett Ave S,98057,756,S,P,KC,150,0,1300586.45227,178337.567988,-122.20767211,47.48058207,232, ,Burnett, Ave,S, , , , 
-122.08126136079,47.742758813437,112,570038,Cottage Lake Assembly of God P&R,15737 Avondale Rd,98072,560,E,L, ,20,0,1333391.11101,273424.748104,-122.08126235,47.74275663,15737, ,Avondale,Rd, , , , , 
-122.346338203026,47.7668015877354,113,570041,Shoreline P&R,18821 Aurora Ave N,98133,709,N,P,S,393,0,1268354.79648,283362.930644,-122.34633927,47.76679993,18821, ,Aurora,Ave,N, , , , 
-122.323772105287,47.7357819190867,114,570042,North Jackson Park P&R,14711 5th Ave NE,98155,705,N,P,S,68,0,1273684.18328,271941.802078,-122.32377328,47.73578014,14711, ,5th,Ave,NE, , , , 
-122.201397595273,47.7595991249311,115,570045,Bothell P&R,10320 Woodinville Dr,98011,701,E,P,KC,220,0,1303946.37496,280068.937035,-122.20139862,47.75959716,10320, ,Woodinville,Dr, , , , , 
-122.152555584652,47.7565279811905,116,570046,Woodinville P&R,17800 140th Ave NE,98072,711,E,P,S,438,0,1315938.48354,278739.112297,-122.15255657,47.75652593,17800, ,140th,Ave,NE, , , , 
-122.185337311022,47.6679277788784,117,570048,Houghton P&R,7024 116th Ave NE,98033,717,E,P,S,470,0,1307308.50013,246565.641837,-122.18533874,47.66792572,7024, ,116th,Ave,NE, , , , 
-122.196374226354,47.6441291881787,118,570049,South Kirkland P&R,10610 NE 38th Pl,98033,728,E,P,KC,833,0,1304435.74997,237934.062971,-122.19637577,47.64412715,10612,NE,38th,PL, , ,106th,Ave,NE
-122.326194909962,47.7018251820361,119,570056,Thornton Place Garage P&R ,3rd Ave NE & NE 100th St,98125,760,N,P,KC,350,,1272847.8473,259569.400454,-122.32619623,47.70182339,,,3rd,Ave,NE,NE,100th,St,
-122.460011804094,47.4519478995489,120,570057,Ober Park P&R,17106 Vashon Hwy SW,98070,737,S,P,KC,48,0,1237978,169111,-122.46001429,47.45194623,17106, ,Vashon,Hwy,SW, , , , 
-122.299171939134,47.3583928980082,121,570059,Star Lake P&R,27015 26th Ave S,98032,745,S,P,S,540,0,1277114.57645,134191.993078,-122.29917495,47.35839104,27015, ,26th,Ave,S, , , , 
-122.044967886669,47.3961578723115,122,570060,Maple Valley P&R,23033 Renton-Maple Valley Rd,98038,736,S,P,S,122,0,1340329.13291,146869.659142,-122.04497064,47.39615544,23033, ,Renton-Maple Valley,Rd, ,SE,231st,St, 
-122.506561793679,47.3331822868884,123,570062,Tahlequah P&R,SW Tahlequah Rd & Vashon Hwy SW,98070,752,S,P,S,36,0,1225521.52099,126046.479988,-122.50656493,47.33318081,0,SW,Tahlequah,Rd, , ,Vashon,Hwy,SW
-122.287438615051,47.3914701135428,124,570063,Kent/Des Moines P&R ,23405 Military Road S,98032,735,S,P,KC,404,0,1280250.25011,146200.125048,-122.28744144,47.39146823,23405, ,Military,Rd,S, , , , 
-122.227296720176,47.3210167936571,125,570064,Auburn P&R,101 15th St NE,98002,730,S,P,KC,244,0,1294679.61665,120229.662822,-122.22729993,47.3210148,101, ,15th,St,NE, , , , 
-122.32374130716,47.7260223340716,126,570067,5th Ave NE/NE 133rd St P&R,5th Ave NE & NE 133rd St,98125,710,N,P,S,46,0,1273622.81914,268382.348859,-122.32374252,47.72602055,0, ,5th,Ave,NE,NE,133th,St, 
-122.165736536866,47.3611602035356,127,570084,Lake Meridian P&R,26805 132nd Avenue SE,98031,748,S,P,KC,172,0,1310200,134600,-122.16573951,47.36115806,26805, ,132nd,Ave,SE, , , , 
-122.320242264578,47.6762395642154,128,570085,I-5/NE 65th St./Green Lake P&R,6601 8th Ave NE,98115,703,N,P,S,411,0,1274133,250210,-122.3202437,47.67623775,6601, ,8th,Ave,NE, , , , 
-122.201316716886,47.6380238080261,129,570110,St Lukes Lutheran Church - Bellevue P&R,3030 Bellevue Way NE,98004,519,E,L, ,15,0,1303178,235729,-122.20131829,47.63802177,3030, ,Bellevue,Way,NE,NE,30th,Pl, 
-122.014784882286,47.5695571560305,130,570116,Klahanie #1 P&R,4210 244th Pl SE,98029,510,E,L, ,30,0,1348775,209996,-122.01478667,47.5695547,0,SE,Klahanie,Blvd, , ,244th,Pl,SE
-122.269580944658,47.4828596335531,131,570051,Tukwila P&R ,13435 Interurban Ave S,98168,746,S,P,KC,267,0,1285295,179447,-122.26958326,47.48285771,13435, ,Interurban,Ave,S, , , , 
-122.207383120321,47.7110411795709,132,570109,Holy Spirit Lutheran Church P&R,10021 NE 124th St,98034,509,E,L, ,40,0,1302158.17906,262385.64891,-122.20738437,47.71103917,0,NE,124th,St, , ,100th,Ave,NE
-122.285877998257,47.5887613916535,133,570111,Mercer Is United Methodist Church P&R,7070 SE 24th St,98040,512,E,L, ,18,0,1281995,218145,-122.28587983,47.5887595,7070,SE,24th,St, , ,70th,Ave,SE
-122.240764160133,47.7571436392758,134,570043,Kenmore P&R,7346 NE Bothell Way,98028,704,N,P,KC,606,0,1294249,279348,-122.24076523,47.75714172,7346,NE,Bothell,Way, , , , , 
-122.238362762104,47.6367747401659,135,570146,Evergreen Point Bridge P&R,2860 Evergreen Point Rd,98039,715,E,P,S,48,0,1294038,235438,-122.23836437,47.63677278,2860,,Evergreen Point,Rd,,,SR 520,,
