OBJECTID,COMPKEY,COMPTYPE,UNITID,DESCRIPTION,UNITDESC,SEGKEY,INTKEY,INT_UNITID,SIGNAL_TYPE,SIGNAL_MAINT_DIST,INSTALL_DATE,ADDDTTM,MODDTTM,OWNERSHIP,CONDITION,CONDITION_ASSESSMENT_DATE,CURRENT_STATUS,CURRENT_STATUS_DATE,ARTERIAL_CLASS,MAINT_AGREE,MAINT_BY,INT_SIGNAL_TYPE_CD,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,PEDAUDIODEVICEYN,PEDSIGNALYN,PH_MODELTYPE,PP_MODELTYPE,PP_QUANTITY,PEDHDFIRSTINSTALLDT,PH_QUANTITY,PEDAUDIOINSTALLDT,BIKESIGNALHDYN,ASBLT,HALFSIGNALYN,METEREDYN,LTTURNSIGNALYN,LTPROTECTEDPERMYN,LTPROTECTEDYN,RTTURNSIGNALYN,RTPROTECTEDPERMYN,RTPROTECTEDYN,LTFIRSTINSTALLDT,LTREMOVEDT,RTFIRSTINSTALLDT,RTREMOVEDT,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,CABMODELTYPECD,COMCONNTYPECD,MMUMODELTYPECD,PE_MODELTYPE,PI_MODELTYPE,INSTALLERCD,JOINTOWNERSHIPYN,CO_MODELTYPE,MMUMANCD,MMUINSTALLDT,LASTSIGNALOPTDT,PEDPSHINSTALLDT,NUM_ATTACHMENTS
945,284216,74,SGL-004,0,I90 EB OFF RP AND RAINIER AVE S                                                                                                                                                                                                                                ,1,30825,45865,SEMI,SOUTH,1970/01/01 00:00:00+00,2006/11/29 13:38:55+00,1970/01/01 00:00:00+00,WSDOT, ,1970/01/01 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,STATE,DISTRICT3,DISTRICT2,N,N,,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N, , , ,,, ,,, ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
946,284217,74,SGL-011,0,1ST AVE NE AND NE NORTHGATE WAY                                                                                                                                                                                                                                ,1,36586,226722,SEMI,NORTH,1970/01/01 00:00:00+00,2006/11/29 13:53:30+00,2017/05/15 00:00:00+00,WSDOT, ,1970/01/01 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,STATE,DISTRICT5, ,N,N,,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N, , , ,,, ,N,M52, ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
947,285015,74,SGL-993,0,BARNES AVE NW AND NW MARKET ST                                                                                                                                                                                                                                 ,1,25151,11303,SEMI,NORTH,1970/01/01 00:00:00+00,2007/01/03 12:57:27+00,2019/05/23 00:00:00+00,SDOT,GOOD,2008/07/15 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,HALFPED,DISTRICT6, ,N,Y,LEDCD,NAV-2W-PPB,2,2012/07/11 00:00:00+00,2,1970/01/01 00:00:00+00,N,,Y,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,FIBER,MMU2-16LEi,,, ,N,"LMD9200, M34, M52",EDI,2019/05/20 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,5
948,285815,74,SGL-992,0,SW ADMIRAL WAY AND SW OLGA ST                                                                                                                                                                                                                                  ,1,31101,48454,SEMI,SOUTH,2007/02/06 00:00:00+00,2007/02/08 10:10:59+00,2020/02/19 00:00:00+00,SDOT,GOOD,2008/03/21 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,HALFPED,DISTRICT1, ,N,Y,LEDCD,STD,2,2011/02/17 00:00:00+00,2,1970/01/01 00:00:00+00,N,,Y,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2, ,NSM-6,,, ,Y,LMD8000,TCT,2020/02/07 00:00:00+00,1970/01/01 00:00:00+00,2007/02/06 00:00:00+00,12
949,286237,74,SGL-994,0,E JAMES WAY AND XW 10TH AVE                                                                                                                                                                                                                                    ,1,288331,40454,SEMI,CENTRAL,2007/03/21 00:00:00+00,2007/03/22 10:26:08+00,2020/02/03 00:00:00+00,SDOT,GOOD,2008/03/18 00:00:00+00,INSVC,2009/06/26 00:00:00+00,,, ,MIDXWALK,DISTRICT3, ,N,Y,"NEON, LED",STD,2,1970/01/01 00:00:00+00,"2, 2",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2, ,NSM-6,,, ,N,"M34, M34",EDI,2020/01/28 00:00:00+00,1970/01/01 00:00:00+00,2007/03/21 00:00:00+00,0
950,286545,74,SGL-998,0,FAIRVIEW AVE N AND WARD ST                                                                                                                                                                                                                                     ,1,29089,36517,SEMI,CENTRAL,1970/01/01 00:00:00+00,2007/05/02 14:45:41+00,2020/04/07 00:00:00+00,SDOT,FAIR,2008/09/04 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT3, ,Y,N,"LED, NEON",NAV-2W-PPB,2,1970/01/01 00:00:00+00,"4, 4",2007/10/16 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,NSM-6,EMER,, ,N,M52,EDI,2020/03/26 00:00:00+00,1970/01/01 00:00:00+00,2007/10/16 00:00:00+00,0
951,286546,74,SGL-999,0,M L KING JR ER WAY S AND MERTON WAY S                                                                                                                                                                                                                          ,1,35313,80453,SEMI,SOUTH,2007/06/19 00:00:00+00,2007/05/02 14:46:28+00,2020/06/26 00:00:00+00,SDOT,GOOD,2008/08/04 00:00:00+00,INSVC,2009/09/23 00:00:00+00,1,, ,CITY,DISTRICT2, ,N,N,"LED, NEON",NAV-2W-PPB,5,1970/01/01 00:00:00+00,"4, 4",1970/01/01 00:00:00+00,N,,N,N,Y,N,Y,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,5TS2,FIBER,CMU212,EMER,, ,N,"2070ATC, 2070ATC, 2070ATC",EDI,2020/06/25 00:00:00+00,1970/01/01 00:00:00+00,2007/06/19 00:00:00+00,0
952,286547,74,SGL-1000,0,M L KING JR ER WAY S AND S TRENTON ST                                                                                                                                                                                                                          ,1,487375,80470,SEMI,SOUTH,2007/06/06 00:00:00+00,2007/05/02 14:47:08+00,2020/06/29 00:00:00+00,SDOT,GOOD,2008/08/04 00:00:00+00,INSVC,2009/10/02 00:00:00+00,1,, ,HALFPED,DISTRICT2, ,N,Y,"LED, NEON",NAV-2W-PPB,4,1970/01/01 00:00:00+00,"4, 4",1970/01/01 00:00:00+00,N,,Y,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,5TS2,FIBER,CMU212,EMER,, ,Y,2070ATC,EDI,2020/06/26 00:00:00+00,1970/01/01 00:00:00+00,2007/06/09 00:00:00+00,0
953,286548,74,SGL-1001,0,M L KING JR ER WAY S AND S THISTLE ST                                                                                                                                                                                                                          ,1,487282,80255,SEMI,SOUTH,2007/06/19 00:00:00+00,2007/05/02 14:47:31+00,2019/07/16 00:00:00+00,SDOT,GOOD,2008/08/04 00:00:00+00,INSVC,2009/10/02 00:00:00+00,1,, ,HALFPED,DISTRICT2, ,N,Y,"LED, NEON",NAV-2W-PPB,3,1970/01/01 00:00:00+00,"2, 2",1970/01/01 00:00:00+00,N,,Y,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,5TS2,FIBER,CMU212,EMER,, ,N,"2070ATC, 2070ATC",EDI,2019/07/02 00:00:00+00,1970/01/01 00:00:00+00,2008/06/19 00:00:00+00,0
954,286549,74,SGL-1002,0,M L KING JR ER WAY S AND S ELMGROVE ST                                                                                                                                                                                                                         ,1,487034,80254,SEMI,SOUTH,2007/06/27 00:00:00+00,2007/05/02 14:47:58+00,2019/10/22 00:00:00+00,SDOT,GOOD,2008/08/04 00:00:00+00,INSVC,2009/10/02 00:00:00+00,1,, ,HALFPED,DISTRICT2, ,N,Y,"LED, NEON",TACTILE,3,1970/01/01 00:00:00+00,"2, 2",1970/01/01 00:00:00+00,N,,Y,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,5TS2,FIBER,CMU212,EMER,, ,N,2070ATC,EDI,2019/08/10 00:00:00+00,1970/01/01 00:00:00+00,2007/06/27 00:00:00+00,0
