OBJECTID,COMPKEY,COMPTYPE,UNITID,DESCRIPTION,UNITDESC,SEGKEY,INTKEY,INT_UNITID,SIGNAL_TYPE,SIGNAL_MAINT_DIST,INSTALL_DATE,ADDDTTM,MODDTTM,OWNERSHIP,CONDITION,CONDITION_ASSESSMENT_DATE,CURRENT_STATUS,CURRENT_STATUS_DATE,ARTERIAL_CLASS,MAINT_AGREE,MAINT_BY,INT_SIGNAL_TYPE_CD,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,PEDAUDIODEVICEYN,PEDSIGNALYN,PH_MODELTYPE,PP_MODELTYPE,PP_QUANTITY,PEDHDFIRSTINSTALLDT,PH_QUANTITY,PEDAUDIOINSTALLDT,BIKESIGNALHDYN,ASBLT,HALFSIGNALYN,METEREDYN,LTTURNSIGNALYN,LTPROTECTEDPERMYN,LTPROTECTEDYN,RTTURNSIGNALYN,RTPROTECTEDPERMYN,RTPROTECTEDYN,LTFIRSTINSTALLDT,LTREMOVEDT,RTFIRSTINSTALLDT,RTREMOVEDT,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,CABMODELTYPECD,COMCONNTYPECD,MMUMODELTYPECD,PE_MODELTYPE,PI_MODELTYPE,INSTALLERCD,JOINTOWNERSHIPYN,CO_MODELTYPE,MMUMANCD,MMUINSTALLDT,LASTSIGNALOPTDT,PEDPSHINSTALLDT,NUM_ATTACHMENTS
1,272753,74,SGL-278,0,GREENWOOD AVE N AND N 80TH ST                                                                                                                                                                                                                                  ,1,24282,4521,SEMI,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:06+00,2019/02/15 00:00:00+00,SDOT,GOOD,2008/03/06 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT6, ,N,N,LEDCD,,,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,Y,Y,N,N,N,N,2011/10/06 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,Y,N,N,3TS1, ,NSM-12,,, ,N,"LC8000, LMD9200",EDI,2019/02/12 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
2,272754,74,SGL-669,0,7TH AVE AND WESTLAKE AVE                                                                                                                                                                                                                                       ,1,29542,39139,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:06+00,2020/07/02 00:00:00+00,SDOT,GOOD,2008/09/18 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,LEDCD,,,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,NSM-12,OPT,, ,Y,"M34,  , M52, M60-ATC, M60-ATC",EDI,2020/03/05 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
3,272755,74,SGL-178,0,2ND AVE AND BROAD ST                                                                                                                                                                                                                                           ,1,29666,39521,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:06+00,2020/04/06 00:00:00+00,SDOT,POOR,2008/08/29 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,LEDCD,NAV-2W-PPB,8,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS2-Type1,FIBER,MMU-16LEip,,, ,Y,"M34, M60",EDI,2020/04/04 00:00:00+00,1970/01/01 00:00:00+00,2018/01/11 00:00:00+00,0
5,272757,74,SGL-022,0,DEARBORN OFF RP AND S DEARBORN ST                                                                                                                                                                                                                              ,1,30444,44306,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:07+00,1970/01/01 00:00:00+00,WSDOT, ,1970/01/01 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,STATE,DISTRICT2, ,N,N,,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N, , , ,,, ,,, ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
6,272758,74,SGL-75,0,4TH AVE AND PIKE ST                                                                                                                                                                                                                                            ,1,29589,39315,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:07+00,2020/06/30 00:00:00+00,SDOT,FAIR,2008/09/08 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,"LED, LEDCD",,,1970/01/01 00:00:00+00,"8, 8",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS2,COPPER,MMU2-16LEi,,, ,N,"M34,  ,  , M52, M52, M52",EDI,2020/03/24 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
7,272759,74,SGL-249,0,20TH AVE NW AND NW MARKET ST                                                                                                                                                                                                                                   ,1,25152,11304,PRE,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:07+00,2019/05/30 00:00:00+00,SDOT,POOR,2008/07/15 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT6, ,N,N,"NEON, LED",,,1970/01/01 00:00:00+00,"15, 1",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,6TS2,FIBER,MMU-16LEip,EMER,,SDOT,N,"LC40, M34, M52",EDI,2019/05/23 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
8,272760,74,SGL-263,0,AURORA AVE N AND WINONA AVE N                                                                                                                                                                                                                                  ,1,24312,4701,SEMI,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:07+00,2019/03/18 00:00:00+00,SDOT,POOR,2008/07/09 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT6, ,N,N,LED,"STD, NONSTD","8, 1",1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,Y,Y,N,N,N,N,2006/05/11 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,Y,Y,Y,6TS2,FIBER,MMU2-16LEi,,, ,Y,"M34, M52, M52, M52, M52",EDI,2019/03/16 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,18
9,272761,74,SGL-148,0,8TH AVE AND BLANCHARD ST                                                                                                                                                                                                                                       ,1,29521,39118,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:08+00,2020/06/24 00:00:00+00,SDOT,POOR,2008/09/22 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT7, ,N,N,NEON,,,1970/01/01 00:00:00+00,16,1970/01/01 00:00:00+00,N,,N,Y,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS2,WIRELESS,MMU-16LEip,EMER,, ,N,"M34,  , M34, M52, M52",EDI,2020/06/22 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
10,272762,74,SGL-679,0,BELLEVUE AVE AND E DENNY WAY                                                                                                                                                                                                                                   ,1,29164,36756,SEMI,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:08+00,2019/10/17 00:00:00+00,SDOT,FAIR,2008/08/19 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT3, ,N,N,LEDCD,STD,4,2014/03/20 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,LSM6,,, ,Y,"M34,  ",EDI,2019/09/27 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,12
11,272763,74,SGL-270,0,AURORA AVE N AND N NORTHGATE WAY                                                                                                                                                                                                                               ,1,36360,225323,SEMI,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:08+00,2019/05/31 00:00:00+00,SDOT,FAIR,2008/07/11 00:00:00+00,INSVC,2011/03/11 00:00:00+00,1,, ,CITY,DISTRICT5, ,Y,N,LEDCD,STD,8,1970/01/01 00:00:00+00,8,2008/12/16 00:00:00+00,N,,N,N,Y,N,Y,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,Y,Y,6TS2,FIBER,MMU2-16LEi,EMER,, ,Y,"M34, M52, M52",EDI,2019/05/25 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,32
12,272764,74,SGL-614,0,ELLIS AVE S AND S MYRTLE ST                                                                                                                                                                                                                                    ,1,34194,71302,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:08+00,2020/03/11 00:00:00+00,SDOT,POOR,2008/05/23 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT2, ,N,N,NEON,NONSTD,4,1970/01/01 00:00:00+00,16,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS1,COPPER,NSM-12,EMER,, ,N,"M34, LC8000",EDI,2020/03/11 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1
13,272765,74,SGL-138,0,3RD AVE AND LENORA ST                                                                                                                                                                                                                                          ,1,29558,39155,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:08+00,2020/07/22 00:00:00+00,SDOT,POOR,2008/09/02 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT7, ,N,N,"NEON, LED",,,1970/01/01 00:00:00+00,"14, 2",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,FIBER,LT216E,EMER,, ,Y,"M34,  , M60",EAGLE,2020/07/14 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
14,272767,74,SGL-364,0,15TH AVE NE AND NE 47TH ST                                                                                                                                                                                                                                     ,1,26066,15739,PRE,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:09+00,2019/04/01 00:00:00+00,SDOT,POOR,2008/04/23 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT4, ,N,N,NEON,,,1970/01/01 00:00:00+00,16,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,LSM6,,, ,Y,LMD9200,EAGLE,2019/03/27 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
15,272768,74,SGL-370,0,11TH AVE NE AND NE RAVENNA WB BV                                                                                                                                                                                                                               ,1,25757,14257,PRE,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:09+00,2019/04/09 00:00:00+00,SDOT,FAIR,2008/04/24 00:00:00+00,INSVC,2012/11/16 00:00:00+00,1,, ,CITY,DISTRICT4, ,N,N,LEDCD,,,2012/11/21 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,MMU-16LEip,,, ,N,M34,EDI,2019/04/06 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
16,272769,74,SGL-641,0,DELRIDGE WAY SW AND SW ANDOVER ST                                                                                                                                                                                                                              ,1,32046,55306,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:09+00,2020/01/22 00:00:00+00,SDOT,POOR,2008/08/12 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT1, ,N,N,"NEON, LED",STD,4,1970/01/01 00:00:00+00,"13, 2",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS2,FIBER,MMU2-16LEi,EMER,EMER, ,Y,"LMD8000, LMD8000, ATC-1000, ATC-1000",EDI,2020/01/21 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1
17,272770,74,SGL-541,0,RAINIER AVE S AND SEWARD PARK AVE S                                                                                                                                                                                                                            ,1,35451,81716,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:10+00,2020/06/24 00:00:00+00,SDOT,POOR,2008/08/11 00:00:00+00,INSVC,2009/09/03 00:00:00+00,1,, ,CITY,DISTRICT2, ,N,N,"NEON, LED",STD,2,1970/01/01 00:00:00+00,"10, 2",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2TS2-Typ1,COPPER,MMU2-16LEi,,, ,N,"M52, LMD8000, M52, M52",EDI,2020/06/23 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
18,272771,74,SGL-518,0,RAINIER AVE S AND S DEARBORN ST                                                                                                                                                                                                                                ,1,30781,45711,FULL,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:10+00,2020/02/27 00:00:00+00,SDOT,POOR,2008/08/05 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT3, ,N,N,LEDCD,,,2014/03/20 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,Y,N,Y,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS1,FIBER,NSM-12,,, ,N,"M34, M52, M52, M60",EDI,2019/07/31 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
19,272772,74,SGL-714,0,VETRN HOSPITAL DR AND S COLUMBIAN WAY                                                                                                                                                                                                                          ,1,32553,58852,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:10+00,2020/06/11 00:00:00+00,SDOT,FAIR,2008/09/03 00:00:00+00,INSVC,2011/07/15 00:00:00+00,1,, ,CITY,DISTRICT2, ,N,N,LEDCD,,,2011/07/14 00:00:00+00,6,1970/01/01 00:00:00+00,N,,N,N,Y,Y,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2, ,LT216E,,, ,N,"LMD8000, LMD8000",EAGLE,2020/06/11 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
20,272773,74,SGL-862,0,23RD AVE S AND S MASSACHUSETTS ST                                                                                                                                                                                                                              ,1,31514,52501,SEMI,SOUTH,1994/02/02 00:00:00+00,2005/03/17 17:11:10+00,2019/09/10 00:00:00+00,SDOT,POOR,2008/08/12 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT3, ,N,N,LEDCD,"TACTILE, CCU-EN2","8, 8",2013/12/12 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,MMU2-16LEi,,, ,Y,"LMD8000, M52, M52, M60",EDI,2019/05/21 00:00:00+00,1970/01/01 00:00:00+00,2013/12/12 00:00:00+00,0
21,272774,74,SGL-822,0,RENTON AVE S AND S BANGOR ST                                                                                                                                                                                                                                   ,1,38250,306331,SEMI,SOUTH,1991/11/14 00:00:00+00,2005/03/17 17:11:10+00,2020/06/23 00:00:00+00,SDOT,POOR,2008/08/11 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT2, ,N,N,LEDCD,"STD, TACTILE, NAV-2W-PPB","2, 2, 4",2012/08/17 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2, ,MMU-16LEip,,, ,N,"LMD8000, M52",EDI,2020/06/22 00:00:00+00,1970/01/01 00:00:00+00,2016/10/11 00:00:00+00,0
22,272775,74,SGL-776,0,GREEN LAKE WAY N AND N 46TH ST                                                                                                                                                                                                                                 ,1,25692,13757,FULL,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:10+00,2019/04/01 00:00:00+00,SDOT,POOR,2008/08/12 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT4, ,N,N,"NEON, LED",NONSTD,13,1970/01/01 00:00:00+00,"18, 2",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,6TS2,FIBER,MMU-16LEip,,, ,Y,"M52, M52, M52, M52",EDI,2019/03/31 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
23,272776,74,SGL-500,0,M L KING JR WAY S AND S JACKSON ST                                                                                                                                                                                                                             ,1,30602,45141,SEMI,CENTRAL,1970/01/01 00:00:00+00,2005/03/17 17:11:11+00,2019/09/12 00:00:00+00,SDOT,FAIR,2008/04/28 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT3, ,N,N,LEDCD,,,2011/08/02 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,Y,Y,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS2-Typ1+,FIBER,MMU-16LEip,,, ,N,"LMD8000, LMD8000, M52, M52, M60",EDI,2019/09/10 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
24,272777,74,SGL-523,0,23RD AVE S AND RAINIER AVE S                                                                                                                                                                                                                                   ,1,31562,52555,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:11+00,2019/11/26 00:00:00+00,SDOT,POOR,2008/08/05 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT3,DISTRICT2,N,N,NEON,"STD, TACTILE","4, 2",1970/01/01 00:00:00+00,12,1970/01/01 00:00:00+00,N,,N,N,Y,N,Y,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS2-Type1,FIBER,MMU2-16LEi,,, ,N,"M52, LMD9200, M52, M60",EDI,2019/04/07 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
25,272778,74,SGL-164,0,ALASKAN WAY AND XW BELL ST                                                                                                                                                                                                                                     ,1,29707,39562,SEMI,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:11+00,2020/07/13 00:00:00+00,SDOT,POOR,2008/09/05 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,MIDXWALK,DISTRICT7, ,N,Y,NEON,NAV-2W-PPB,2,1970/01/01 00:00:00+00,4,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,FIBER,LSM6,,, ,N,"M34, M34, M52",TCT,2020/07/10 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,18
26,272779,74,SGL-407,0,4TH AVE AND SENECA ST                                                                                                                                                                                                                                          ,1,29932,40729,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:11+00,2020/04/01 00:00:00+00,SDOT,FAIR,2008/05/15 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,LEDCD,STD,4,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,LSM6,EMER,, ,N,"M34,  , M34",TCT,2020/03/23 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
27,272780,74,SGL-26,0,5TH AVE S AND S MAIN ST                                                                                                                                                                                                                                        ,1,30501,44533,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:12+00,2020/07/07 00:00:00+00,SDOT,FAIR,2008/09/17 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT2, ,N,N,LEDCD,,,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,LSM6,,, ,Y,"M34,  ",TCT,2020/07/02 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
28,272781,74,SGL-512,0,9TH AVE AND JAMES ST                                                                                                                                                                                                                                           ,1,29959,40757,SEMI,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:12+00,2020/02/18 00:00:00+00,SDOT,POOR,2008/09/18 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT3, ,N,N,"NEON, LED",STD,4,1970/01/01 00:00:00+00,"14, 2",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS1,COPPER,NSM-12,EMER,, ,N,"M34,  , M34",EDI,2020/02/12 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
29,272782,74,SGL-323,0,10TH AVE E AND E ROANOKE W ST                                                                                                                                                                                                                                  ,1,28205,30126,SEMI,CENTRAL,1970/01/01 00:00:00+00,2005/03/17 17:11:12+00,2020/07/28 00:00:00+00,SDOT,POOR,2008/04/15 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT3, ,N,N,"NEON, LED",NAV-2W-PPB,2,1970/01/01 00:00:00+00,"7, 1",1970/01/01 00:00:00+00,N,,N,N,Y,N,Y,Y,N,Y,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS1,COPPER,NSM-12,EMER,, ,Y,"LMD9200, LMD8000",EDI,2020/07/24 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
30,272783,74,SGL-435,0,24TH AVE E AND E MCGRAW ST                                                                                                                                                                                                                                     ,1,28422,31542,SEMI,CENTRAL,1970/01/01 00:00:00+00,2005/03/17 17:11:12+00,2020/03/31 00:00:00+00,SDOT,FAIR,2008/08/18 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT3, ,N,N,LEDCD,STD,4,2014/06/11 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2, ,NSM-6,,, ,Y,"LC8000, LC8000",EDI,2020/03/04 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
31,272784,74,SGL-403,0,RAVENNA AVE NE AND NE 65TH ST                                                                                                                                                                                                                                  ,1,24803,6748,SEMI,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:12+00,2019/04/19 00:00:00+00,SDOT,FAIR,2008/07/22 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT4, ,N,N,LEDCD,TACTILE,4,2017/03/30 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,FIBER,LT216E,EMER,, ,Y,"M52, LMD8000",EDI,2019/04/16 00:00:00+00,1970/01/01 00:00:00+00,2007/01/18 00:00:00+00,0
32,272786,74,SGL-825,0,5TH AVE S AND S HOLGATE ST                                                                                                                                                                                                                                     ,1,31360,51652,FULL,SOUTH,1991/12/04 00:00:00+00,2005/03/17 17:11:13+00,2020/06/30 00:00:00+00,SDOT,GOOD,2008/08/21 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT2, ,N,N,LED,NAV-2W-PPB,8,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS1,COPPER,NSM-12,"LTR, EMER",, ,Y,"M52, M52",EDI,2020/06/29 00:00:00+00,1970/01/01 00:00:00+00,2005/07/28 00:00:00+00,0
33,272787,74,SGL-828,0,SUNNYSIDE AVE N AND N 45TH ST                                                                                                                                                                                                                                  ,1,27185,23507,SEMI,NORTH,1992/07/14 00:00:00+00,2005/03/17 17:11:13+00,2019/05/09 00:00:00+00,SDOT,FAIR,2008/03/18 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,HALFPED,DISTRICT4, ,N,Y,LEDCD,NAV-2W-PPB,2,2015/01/05 00:00:00+00,2,1970/01/01 00:00:00+00,N,,Y,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,6TS2,FIBER,MMU-16LEip,,,SDOT,Y,"LMD8000, LMD8000, M52, M52",EDI,2019/05/01 00:00:00+00,1970/01/01 00:00:00+00,2015/06/24 00:00:00+00,0
34,272788,74,SGL-268,0,AURORA AVE N AND N 85TH ST                                                                                                                                                                                                                                     ,1,37367,232351,FULL,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:13+00,2019/03/15 00:00:00+00,SDOT,FAIR,2008/07/09 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT5,DISTRICT6,N,N,LEDCD,STD,8,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,Y,N,Y,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,Y,N,6TS2,FIBER,MMU2-16LEi,,, ,N,"M34, M52, M60",EDI,2019/03/09 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,23
