X,Y,OBJECTID,COMPKEY,UNITID,UNITDESC,CONDITION,CONDITION_ASSESSMENT_DATE,CURRENT_STATUS,OWNERSHIP,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,COMPTYPE,CURRENT_STATUS_DATE,INSTALL_DATE,INSTALL_PURPOSE,INTKEY,LANDSCAPING,MAINTAINED_BY,MAINTENANCE_AGREEMENT,NO_LAND_REASON,OVERRIDECOMMENT,OVERRIDEYN,OWNERSHIP_DATE,SDOT_INITIATED,SEWER_ACCESS_COVER,TRCSIZE,SURVEY_MONUMENT,TRCSHAPE,UNITTYPE,SHAPE_LNG,SHAPE_LAT
1270397.52638568,269411.71456793,801,509552,TRC-1067,WALLINGFORD AVE N AND N 137TH ST                                                                                                                                                                                                                               ,GOOD,2009/07/27 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,1987/05/14 00:00:00+00, ,35742,N,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,OTHER,TRC,-122.33692515924,47.7286717930572
1257473.89110845,205888.67789489,802,509528,TRC-639,41ST AVE SW AND SW BRANDON ST                                                                                                                                                                                                                                  ,GOOD,2009/09/24 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,1970/01/01 00:00:00+00, ,32800,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.384225671193,47.5538554592423
1277355.94092081,234449.20477213,803,509228,TRC-330,20TH AVE E AND E CRESCENT DR                                                                                                                                                                                                                                   ,GOOD,2009/09/21 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1986/10/16 00:00:00+00, ,28468,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.305937977237,47.6332094352295
1282248.37407783,267105.638469577,804,509210,TRC-573,37TH AVE NE AND NE 130TH ST                                                                                                                                                                                                                                    ,GOOD,2009/09/09 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,1993/10/13 00:00:00+00, ,36188,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,OVAL,TRC,-122.288603116237,47.7229754394942
1263984.34333912,250969.441781044,805,509580,TRC-727,4TH AVE NW AND NW 67TH ST                                                                                                                                                                                                                                      ,GOOD,2009/09/04 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,1991/03/20 00:00:00+00, ,24110,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.361490721451,47.6777761736562
1257179.31037214,206561.083079576,806,509518,TRC-656,42ND AVE SW AND SW DAWSON ST                                                                                                                                                                                                                                   ,GOOD,2009/09/15 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,1999/06/30 00:00:00+00, ,32787,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.385473296608,47.5556821971906
1283867.22451147,235694.236773401,807,509281,TRC-637,41ST AVE E AND E NEWTON ST                                                                                                                                                                                                                                     ,GOOD,2009/09/24 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1983/03/31 00:00:00+00, ,28485,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.279628837409,47.6369605705991
1275502.88363892,216728.718929991,808,509470,TRC-216,16TH AVE S AND S HILL ST                                                                                                                                                                                                                                       ,GOOD,2009/09/14 00:00:00+00,INSVC,SDOT,DISTRICT2, ,16,2009/10/14 00:00:00+00,1997/12/03 00:00:00+00, ,31555,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.312071347429,47.5845404301192
1269394.75672066,245943.249071896,809,508927,TRC-1093,WOODLAWN AVE N AND N 49TH ST                                                                                                                                                                                                                                   ,GOOD,2009/09/15 00:00:00+00,INSVC,SDOT,DISTRICT4, ,16,2009/10/14 00:00:00+00,2001/05/03 00:00:00+00, ,25547,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.339133163995,47.6642919834541
1274863.22674225,226597.731292084,810,509145,TRC-158,13TH AVE AND E SPRING ST                                                                                                                                                                                                                                       ,GOOD,2009/09/04 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1993/03/29 00:00:00+00, ,29775,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.315432894552,47.6115574934874
1278783.78489028,236991.203622729,811,509139,TRC-412,25TH AVE E AND E MCGRAW ST                                                                                                                                                                                                                                     ,GOOD,2009/08/03 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1970/01/01 00:00:00+00, ,28355,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.300344452926,47.6402517806071
1283017.50803061,264382.269570783,812,509366,TRC-629,40TH AVE NE AND NE 120TH ST                                                                                                                                                                                                                                    ,GOOD,2009/09/04 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,1992/04/14 00:00:00+00, ,36811,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.28527005522,47.7155505401377
1256202.84579515,249914.50885196,813,509550,TRC-473,28TH AVE NW AND NW 63RD ST                                                                                                                                                                                                                                     ,GOOD,2009/08/03 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,1990/01/04 00:00:00+00, ,25198,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,OVAL,TRC,-122.392984994628,47.6744567228086
1258036.63114102,203894.884356841,814,509646,TRC-620,39TH AVE SW AND SW RAYMOND ST                                                                                                                                                                                                                                  ,GOOD,2009/09/14 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,1998/09/09 00:00:00+00, ,32829,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.3817847773,47.5484216630156
1265575.98878075,195080.023355812,815,509709,TRC-154,12TH AVE SW AND SW TRENTON ST                                                                                                                                                                                                                                  ,GOOD,2009/05/12 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,1982/05/19 00:00:00+00, ,35025,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.350558409504,47.5246722508873
1272811.65016416,230022.857695594,816,509255,TRC-838,BELMONT AVE E AND E THOMAS ST                                                                                                                                                                                                                                  ,GOOD,2009/07/27 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1986/08/14 00:00:00+00, ,29142,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.324017691023,47.6208370632159
1271595.4757629,245289.076783225,817,509609,TRC-1064,SUNNYSIDE AVE N AND N 46TH ST                                                                                                                                                                                                                                  ,GOOD,2009/07/27 00:00:00+00,INSVC,SDOT,DISTRICT4, ,16,2009/10/14 00:00:00+00,1985/06/25 00:00:00+00, ,25878,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.330152127963,47.66261661302
